Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.414042,-2.422996,-2.440187,-2.035389,-2.197809,-2.296179,-2.070934,-2.221302,-2.410581,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.801084,-2.763864,-2.655531,-2.729808
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2,2,2,2,2,4,4,4,3,3,4,4,4,5,6,6,6,6,6,6,6,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.12766,0.5319149,0.5291005,1.587302,2.01005,1.941748,2.427185,1.449275,1.449275,0.4807692,0.4739336,1.421801,1.421801,1.895735,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4716981,0.9433962,0.4716981
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0,0.4854369,0.4854369,0.4830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,6.914894,7.446808,5.820106,13.22751,6.030151,4.368932,6.310679,6.763285,4.347826,1.923077,1.895735,3.317536,2.369668,3.791469,3.317536,5.238095,2.857143,3.333333,1.428571,2.35849,3.301887,2.35849
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4753152,0.4353236,0.4556421,0.4386366,0.3504379,0.3051023,0.3040168,0.2898833,0.3081072,0.3107432,0.2938249,0.2820698,0.2738843,0.2438815,0.2457412,0.2088946,0.2156042,0.219708,0.228036,0.2271018,0.241348,0.2478092
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3338114,-0.5427064,-0.5379785,-0.2945781,-0.3088242,-0.4283776,-0.5071405,-0.5083324,-0.203224,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3784748,0.3705156,0.1111686,0.0839363
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3,3,3,3,3,4,5,6,6,6,6,6,7,8,8,8,8,8,8,8,7,6
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,35.6383,28.7234,29.62963,34.39153,36.1809,30.09709,29.61165,29.95169,37.68116,43.26923,42.1801,38.38863,37.44076,40.28436,49.2891,61.42857,58.09524,58.09524,59.52381,58.49057,51.88679,49.5283
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,17.02128,13.29787,13.22751,20.10582,22.11055,18.93204,18.4466,17.8744,24.63768,29.80769,28.90995,25.59242,24.64455,29.85782,36.49289,52.38095,45.23809,47.14286,46.19048,47.16981,36.32076,36.79245
Albania,ALB,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,57.44681,48.40425,50.79365,58.20106,51.25628,48.54369,45.63107,42.99517,50.72464,57.69231,57.8199,52.1327,50.23697,53.5545,62.55924,74.28571,67.14286,70,70.95238,69.33962,60.84906,61.32076
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4219024,0.381321,0.397162,0.3945794,0.3311687,0.3166145,0.3011172,0.2741809,0.2626058,0.2640872,0.2652642,0.2604739,0.2508663,0.2219843,0.2280198,0.1963862,0.2029834,0.2077957,0.21595,0.215237,0.2330146,0.2382714
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.780031,-1.875876,-1.43201,-1.633234,-1.753627,-1.359521,-0.9152133,-1.126453,-1.14836,-1.093989,-1.197078,-1.259368,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9157991,-0.8361196,-1.044343,-0.8601653
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.319149,4.787234,10.05291,6.878307,5.527638,10.67961,20.38835,15.45894,14.00966,14.90385,13.27014,11.84834,10.42654,9.478673,12.79621,9.523809,11.90476,12.38095,16.19048,17.92453,13.20755,17.45283
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,2.12766,0,2.645503,1.058201,1.507538,4.368932,10.67961,8.212561,8.695652,9.615385,7.582938,4.739336,5.21327,5.687204,7.582938,8.095238,9.047619,8.571428,9.523809,11.32076,8.490566,10.84906
Algeria,DZA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,12.23404,10.6383,19.57672,17.46032,13.06533,18.93204,32.52427,25.12077,22.22222,23.55769,19.90521,19.90521,18.48341,18.00948,19.90521,17.14286,21.42857,20,27.14286,28.77358,23.11321,28.77358
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.342809,0.3161064,0.2924749,0.2872855,0.2786692,0.2531189,0.2441811,0.2464031,0.246402,0.2435471,0.2442496,0.2268074,0.2315082,0.2001131,0.2068148,0.2126011,0.2212777,0.2202831,0.2385149,0.2437513
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.7376288,0.7464869,0.7040941,0.9679514,0.9841928,0.9456341,0.9191467,0.9339902,0.9529908,0.9289858,1.080683,1.181357,1.193236,1.218863,1.216776,1.172189,1.169803
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,72.33009,68.4466,68.11594,80.19324,80.76923,82.46445,80.09479,74.40759,78.67299,76.77725,89.04762,91.90476,92.38095,92.85714,92.45283,92.45283,92.45283
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,..,..,..,..,..,46.60194,46.60194,45.89372,54.58937,55.28846,54.02843,54.02843,54.9763,58.76777,57.34597,66.19048,66.66666,68.09524,67.61905,69.33962,67.92453,65.56604
American Samoa,ASM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,..,..,..,..,..,98.05825,99.51456,99.03381,100,100,100,99.52607,99.52607,99.52607,99.52607,99.52381,99.52381,99.52381,99.52381,99.52831,99.52831,99.52831
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,..,..,..,..,..,0.4263886,0.445787,0.4255542,0.3829512,0.3849193,0.371912,0.3934042,0.4113351,0.344925,0.3936894,0.2914741,0.3101205,0.3209215,0.3522039,0.3093054,0.3175597,0.3399872
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.170157,1.183645,1.167002,1.282039,1.464986,1.401487,1.384696,1.348995,1.340644,1.337765,1.296418,1.278272,1.302488,1.290351,1.283926,1.286593,1.391288,1.413419,1.421869,1.417627,1.602202,1.618512
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,89.3617,90.42553,86.77248,92.59259,98.49246,98.05825,99.02913,98.55073,98.55073,98.07692,94.3128,93.83886,95.7346,94.78673,93.83886,96.66666,97.61905,97.14286,97.14286,97.64151,98.58491,99.0566
Andorra,AND,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,52.12766,54.78724,54.49735,62.43386,76.88442,74.27184,68.4466,68.11594,72.46377,71.63461,72.03792,70.14218,68.72038,70.14218,67.77251,74.28571,80.47619,79.04762,79.52381,80.66038,91.03773,91.03773
Andorra,AND,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100,100,100,100,100,100,100,100,100,100,100,100,99.52607,99.52607,99.52607,99.52381,99.52381,99.52381,100,99.52831,100,100
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.6135068,0.5757331,0.5970712,0.520825,0.3504379,0.3657162,0.3861447,0.3778841,0.3485679,0.3515564,0.3425104,0.3523993,0.3607753,0.3173849,0.3474274,0.2914741,0.2800709,0.2909331,0.3153305,0.2965786,0.2880321,0.290409
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.057286,-2.313072,-2.035583,-1.577046,-1.006538,-1.062798,-0.8875439,-0.541986,-0.6660322,-0.3629115,-0.3472624,-0.2261823,-0.3692378,-0.3893225,-0.3912335,-0.333232,-0.5008978,-0.3158988,-0.380449,-0.3356918,-0.358525,-0.520679
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,4,4,5,6,5,6,5,5,6,7,7,6,7,7,6,6,7,7,7,6
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,3.723404,1.06383,1.587302,9.523809,19.59799,16.50485,21.35922,27.53623,24.15459,31.25,32.70142,37.91469,34.59716,35.07109,35.07109,32.85714,28.09524,33.33333,30.47619,35.37736,32.07547,26.88679
Angola,AGO,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,1.058201,9.045226,7.281553,11.16505,17.3913,14.97585,18.75,20.85308,25.59242,20.85308,21.80095,21.32701,23.33333,19.52381,21.90476,19.52381,21.22642,20.75472,16.50943
